TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
6.14,9.03,30.10,253.15,356.94,32.94,511.37,5.98,0.48
5.83,9.13,29.82,253.38,358.47,33.00,565.02,6.19,0.55
6.02,9.07,30.07,249.98,359.11,32.81,538.47,5.92,0.50
5.84,11.55,29.80,251.59,357.10,34.44,1060.30,5.66,0.95
5.99,9.04,29.98,254.98,358.85,32.93,541.28,6.01,0.51
6.13,11.67,29.84,256.40,365.59,34.38,1052.26,5.66,0.94
5.98,11.96,30.03,248.38,357.69,35.26,1107.79,5.61,0.98
5.81,10.82,29.88,251.35,366.40,34.01,881.50,5.98,0.83
6.13,8.64,30.00,252.16,357.95,32.53,473.49,5.60,0.42
5.92,8.90,30.12,252.76,361.84,32.26,519.58,6.08,0.50
6.16,12.08,30.12,246.85,362.11,34.59,1077.63,5.68,0.97
6.11,10.26,29.82,249.10,363.36,32.96,706.51,6.12,0.68
5.96,7.72,29.98,255.96,358.30,31.14,394.39,4.77,0.30
6.06,8.97,30.03,254.70,358.63,32.92,514.67,6.05,0.49
5.98,8.89,29.89,247.92,357.56,32.52,508.42,5.95,0.48
6.07,9.87,29.98,247.81,365.49,32.59,640.57,6.16,0.62
5.88,10.21,30.20,250.09,359.37,33.63,732.55,6.18,0.72
5.94,8.76,30.04,256.27,358.09,32.78,508.56,5.96,0.48
6.06,9.06,29.91,255.85,362.89,32.13,528.62,6.07,0.51
6.19,11.69,29.88,254.60,361.15,34.55,1027.79,5.71,0.93
5.81,12.07,30.08,251.08,357.84,35.51,1214.35,5.41,1.04
5.93,10.31,30.20,253.87,364.16,33.30,752.81,6.18,0.74
6.10,9.28,29.84,256.54,358.40,32.84,570.16,5.99,0.54
5.98,8.21,29.96,253.76,359.96,31.55,441.31,5.38,0.38
5.97,11.69,30.05,253.63,361.03,34.54,1078.02,5.64,0.96
5.83,12.07,29.85,253.47,362.97,34.92,1232.05,5.37,1.05
5.97,9.63,29.86,249.80,359.99,32.41,621.61,6.16,0.61
6.13,10.94,30.16,248.04,361.91,33.94,828.11,6.03,0.79
6.04,10.94,29.86,251.81,357.66,33.62,867.70,5.96,0.82
6.01,9.38,29.80,249.07,362.45,32.51,567.00,6.20,0.56
5.98,8.17,30.09,247.20,358.13,32.26,430.78,5.25,0.36
